gene_name	NES	pvalues	reg_exp_meas	reg_exp_sign	pWeight	raw_weight	weight	weightedNES	UNIPROT	mf
ATR	2.981257410663453	0.002870673850582332	24	6	0.002870673850582332	5.853208485626064	0.537864200811942	6.41404653840471	Q13535	kin
AURKA	-2.1371729905017443	0.032583923995916704	13	3	0.032583923995916704	3.423936241197158	0.31463303152878785	-2.6897008676120366	O14965	kin
CDK10	-4.030407395064858	5.568026275713319e-5	10	2	5.568026275713319e-5	9.795884822891537	0.900165400642965	-14.512133150131707	Q15131	kin
CDK11B	-4.278833387158751	1.8787542623809555e-5	11	2	1.8787542623809555e-5	10.882316534155377	1	-17.115333548635004	P211272;P21127	kin
CDK17	-4.071702492577593	4.66707651601835e-5	10	2	4.66707651601835e-5	9.972392603018381	0.9163850887555883	-14.924989800188271	Q00537	kin
CDK18	-2.7055000085772316	0.006820164650874331	13	2	0.006820164650874331	4.987871665061248	0.4583464972192502	-4.960225808632102	Q07002	kin
CDK19	-4.278833387158751	1.8787542623809555e-5	12	2	1.8787542623809555e-5	10.882316534155377	1	-17.115333548635004	Q9BWU1	kin
CDK6	-2.807664677697153	0.004990215826530359	58	3	0.004990215826530359	5.300276118344351	0.4870540295082244	-5.469937579121234	Q00534	kin
CDK8	-4.071702492577593	4.66707651601835e-5	10	2	4.66707651601835e-5	9.972392603018381	0.9163850887555883	-14.924989800188271	P49336	kin
CHUK	2.052779964028615	0.040093922582610096	11	2	0.040093922582610096	3.216530512698856	0.29557406298589206	2.426994057535884	O15111	kin
DUSP8	3.154459467327624	0.0016079571247603944	6	NA	0.0016079571247603944	6.432790772287068	0.5911232918190744	7.458697856946196	Q13202	phos
IKBKE	2.3895501210726406	0.016869021961225864	12	2	0.016869021961225864	4.082276359135946	0.37512935286556515	3.5855615622312502	Q14164	kin
MAP3K13	-2.7957240240582393	0.005178359868354366	8	NA	0.005178359868354366	5.2632669005787065	0.4836531710926943	-5.408643158943182	O43283	kin
MAP3K8	2.559620961849264	0.010478638205728516	8	1	0.010478638205728516	4.558416550733938	0.4188829222552784	4.288726033461145	P41279	kin
MAPK1	-0.17167918861555775	0.01307118105143567	229	14	0.01307118105143567	4.337345391891003	0.3985682072633851	-0.2737034657237416	P28482	kin
PAK2	-2.6370628360413426	0.008362733910551404	15	NA	0.008362733910551404	4.783969882552595	0.4396095139796354	-4.637111646743574	Q13177	kin
PLK1	-1.9622003524039453	0.049739162934015695	29	NA	0.049739162934015695	3.000962669578085	0.2757650597792506	-2.164425189918162	P53350	kin
PRKAA1	2.514923205144406	0.011905831417591441	52	15	0.011905831417591441	4.430726963800921	0.4071492452819751	4.095796339666683	Q13131	kin
PRKAB1	3.592506378861881	3.275126345534203e-4	19	7	3.275126345534203e-4	8.02398392484404	0.7373415301475438	10.595616601819325	Q9Y478	kin
PRKAG1	3.1109670040477306	0.0018647577474477427	15	4	0.0018647577474477427	6.284624128453228	0.5775079330515912	7.186432497197225	P54619	kin
PRKAG2	2.896286970757127	0.0037760691975635557	19	6	0.0037760691975635557	5.579071705240853	0.5126731691483434	5.939394480244447	Q9UGJ0	kin
PRKAG3	3.103143755595238	0.0019147660628324775	15	4	0.0019147660628324775	6.2581598242125125	0.5750760699314867	7.138174861600574	Q9UGI9	kin
PRKCE	-2.1269426214776463	0.03342485094678323	16	2	0.03342485094678323	3.3984556153374097	0.3122915607785322	-2.656904923790548	Q02156	kin
PRKDC	3.3481231246563827	8.136085627514575e-4	58	11	8.136085627514575e-4	7.1140311887628656	0.6537239719534602	8.754993390558402	P78527	kin
TBK1	2.4579864284962523	0.013971845397470517	18	3	0.013971845397470517	4.270711017266928	0.3924450280289881	3.8584982113043367	Q9UHD2	kin
ULK1	3.3625180603670715	7.723507369650431e-4	10	5	7.723507369650431e-4	7.166071788619135	0.6585060971280895	8.856954577820135	O75385	kin
